episode_signature,episode_title,image_link
S1E1,A Walk in the Woods,painting282.jpg
S1E2,Mt. McKinley,painting283.jpg
S1E3,Ebony Sunset,painting284.jpg
S1E4,Winter Mist,painting285.jpg
S1E5,Quiet Stream,painting286.jpg
S1E6,Winter Moon,painting287.jpg
S1E7,Autumn Mountain,painting288.jpg
S1E8,Peaceful Valley,painting289.jpg
S1E9,Seascape,painting290.jpg
S1E10,Mountain Lake,painting291.jpg
S1E11,Winter Glow,painting292.jpg
S1E12,Snow Fall,painting293.jpg
S1E13,Final Reflections,painting294.jpg
S2E1,Meadow Lake,painting269.jpg
S2E2,Winter Sun,painting270.jpg
S2E3,Ebony Sea,painting271.jpg
S2E4,Shades of Grey,painting272.jpg
S2E5,Autumn Splendor,painting273.jpg
S2E6,Black River,painting274.jpg
S2E7,Brown Mountain,painting275.jpg
S2E8,Reflections,painting276.jpg
S2E9,Black and White Seascape,painting277.jpg
S2E10,Lazy River,painting278.jpg
S2E11,Black Waterfall,painting279.jpg
S2E12,Mountain Waterfall,painting280.jpg
S2E13,Final Grace,painting281.jpg
S3E1,Mountain Retreat,painting256.jpg
S3E2,Blue Moon,painting257.jpg
S3E3,Bubbling Stream,painting258.jpg
S3E4,Winter Night,painting259.jpg
S3E5,Distant Hills,painting260.jpg
S3E6,Covered Bridge,painting261.jpg
S3E7,Quiet Inlet,painting262.jpg
S3E8,Night Light,painting263.jpg
S3E9,The Old Mill,painting264.jpg
S3E10,Campfire,painting265.jpg
S3E11,Rustic Barn,painting266.jpg
S3E12,Hidden Lake,painting267.jpg
S3E13,Peaceful Waters,painting268.jpg
S4E1,Purple Splendor,painting243.jpg
S4E2,Tranquil Valley,painting244.jpg
S4E3,Majestic Mountains,painting245.jpg
S4E4,Winter Sawscape,painting246.jpg
S4E5,Evening Seascape,painting247.jpg
S4E6,Warm Summer Day,painting248.jpg
S4E7,Cabin in the Woods,painting249.jpg
S4E8,Wetlands,painting250.jpg
S4E9,Cool Waters,painting251.jpg
S4E10,Quiet Woods,painting252.jpg
S4E11,Northwest Majesty,painting253.jpg
S4E12,Autumn Days,painting254.jpg
S4E13,Mountain Challenge,painting255.jpg
S5E1,Mountain Waterfall,painting230.jpg
S5E2,Twilight Meadow,painting231.jpg
S5E3,Mountain Blossoms,painting232.jpg
S5E4,Winter Stillness,painting233.jpg
S5E5,Quiet Pond,painting234.jpg
S5E6,Ocean Sunrise,painting235.jpg
S5E7,Bubbling Brook,painting236.jpg
S5E8,Arizona Splendor,painting237.jpg
S5E9,Anatomy of a Wave,painting238.jpg
S5E10,The Windmill,painting239.jpg
S5E11,Autumn Glory,painting240.jpg
S5E12,Indian Girl,painting241.jpg
S5E13,Meadow Stream,painting242.jpg
S6E1,Blue River,painting217.jpg
S6E2,Nature's Edge,painting218.jpg
S6E3,Morning Mist,painting219.jpg
S6E4,Whispering Stream,painting220.jpg
S6E5,Secluded Forest,painting221.jpg
S6E6,Snow Trail,painting222.jpg
S6E7,Arctic Beauty,painting223.jpg
S6E8,Horizons West,painting224.jpg
S6E9,High Chateau,painting225.jpg
S6E10,Country Life,painting226.jpg
S6E11,Western Expanse,painting227.jpg
S6E12,Marshlands,painting228.jpg
S6E13,Blaze of Color,painting229.jpg
S7E1,Winter Cabin,painting203.jpg
S7E2,Secluded Lake,painting204.jpg
S7E3,Evergreens at Sunset,painting205.jpg
S7E4,Mountain Cabin,painting206.jpg
S7E5,Portrait of Sally,painting208.jpg
S7E6,Misty Waterfall,painting209.jpg
S7E7,Barn at Sunset,painting210.jpg
S7E8,Mountain Splendor,painting211.jpg
S7E9,Lake by Mountain,painting212.jpg
S7E10,Mountain Glory,painting213.jpg
S7E11,Grey Winter,painting214.jpg
S7E12,Dock Scene,painting215.jpg
S7E13,Dark Waterfall,painting216.jpg
S8E1,Misty Rolling Hills,painting190.jpg
S8E2,Lakeside Cabin,painting191.jpg
S8E3,Warm Winter Day,painting192.jpg
S8E4,Waterside Way,painting193.jpg
S8E5,Hunter's Haven,painting194.jpg
S8E6,Bubbling Mountain Brook,painting195.jpg
S8E7,Winter Hideaway,painting196.jpg
S8E8,Foot of the Mountain,painting197.jpg
S8E9,Majestic Pine,painting198.jpg
S8E10,Cactus at Sunset,painting199.jpg
S8E11,Mountain Range,painting200.jpg
S8E12,Lonely Retreat,painting201.jpg
S8E13,Northern Lights,painting202.jpg
S9E1,Winter Evergreens,painting177.jpg
S9E2,Surf's Up,painting178.jpg
S9E3,Red Sunset,painting179.jpg
S9E4,Meadow Road,painting180.jpg
S9E5,Winter Oval,painting181.jpg
S9E6,Secluded Beach,painting182.jpg
S9E7,Forest Hills,painting183.jpg
S9E8,Little House by the Road,painting184.jpg
S9E9,Mountain Path,painting185.jpg
S9E10,Country Charm,painting186.jpg
S9E11,Nature's Paradise,painting187.jpg
